code_of_country,Territories,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
570,Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.1,0.203,1.133,0.501,NA,NA,0.02,0.04,NA,NA,NA
574,Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,Norway,10.1,21.8,9.6,6.8,60.4,13.3,29.1042,93.651,75.2423,133.36862,158.5228,242.2521,378.8869,896.7424,447.4995,235.7078,204.59,156.5543,206.3509,189.87928,78.9553578,22.7018523
580,Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0306,0.2114,0.066,NA,NA,NA,1.18,NA,NA,0.007,NA,NA
581,US Minor Outlying Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,Marshall Islands,NA,NA,NA,NA,0.1,0,2114.7,3501.53,4901.54,614.52,2.5,0.0062,2.489,6.679,238.608,NA,4.21,NA,NA,NA,NA,NA
585,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,0.105,2.486,NA,NA,NA,NA,NA,NA
586,Pakistan,3690.3,2273.8,2051.5,3623.15,2310.21344,1155.48,8053.5233,14056.852,16717.74706,29614.94608,30392.042,9204.1036,10511.7247,21962.37041,3887.27032,8582.28088,10104.676,10166.1613,32597.093,97937.01466,98552.026848929,130072.22709732
591,Panama,0.6,230.7,48.6,2.9,14.4,39,30.7,81.47,39.8,38.8291,49.972,30.63,109.162,145.481,4565.357,668.198,246.5138,11.8041,10.8293,0.53209,NA,1.7662798
598,Papua New Guinea,NA,NA,NA,NA,NA,NA,NA,0.32,0.31,0.3,NA,0.3159,0.07,NA,NA,NA,NA,NA,NA,NA,NA,1.2667
600,Paraguay,NA,NA,NA,NA,NA,NA,NA,0.2,5.4,NA,NA,0.371,0.13,2.579,10.32,0.7709,6.01,0.141,0.7289,0.27844,107.846,333.006
604,Peru,0.8,0.1,NA,0.4,0.8,0,1.5,5.35,10.25,8.9037,10.0622,666.2723,81.1429,295.37,143.8681,345.382,1.1269,2.6971,20.5073,105.48267,1717.7050512,3933.3104632
608,Philippines,1.1,0.3,8.6,698,25.2625,218.4,199.54,199.773,187.7916,288.8461,514.2633,536.0645,1408.9018,1011.0454,31391.6949,1476.171,690.9326,689.4435,1956.8,2339.91023,1596.4160932,3819.89061824
612,Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0062,NA,NA,NA,NA,0.03,NA,NA,0.04,NA,0.01702
616,Poland,8698.7,4306.1,1361.05,5007.931,11357.8559,21643.5,19506.70856,32043.406,35358.17466,24209.70549,30054.2348,20440.9771,18529.8793,21443.67914,26707.9129,27440.4715,23941.3844,36567.8424,37919.8964,41456.86061,57357.7099068,88666.9618496
620,Portugal,8090.2,7205.2,9503.45,16399.52,16745.17975,10487.9,12056.00467,17088.171,14749.5084,16715.6489,19807.6425,15200.0577,11759.5077,13180.0133,8341.1359,9173.1377,5166.7374,2791.3529,2044.9371,3785.67225,3817.3979357,10754.22907225
624,Guinea-Bissau,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,Timor-Leste,13.6,NA,NA,NA,0.00954,NA,NA,NA,0.02,NA,0.9,NA,0.03,NA,NA,NA,0.98,NA,NA,NA,NA,NA
630,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,1.9787,4.01312,2.4491063,1.6562911
634,Qatar,40.2,6.4,3.3,517,1,0.2,6.04,3.98,21.596,27.6309,18.0773,36.7458,34.5276,49.6036,46.629,27.866,48.8939,448.8575,535.3677,96.76395,9943.5564402,29032.2611854
638,Reunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1858,0.0727,NA,NA,NA,NA,NA,NA,NA,0.20338,4.3291439,NA
642,Romania,423.6,4151.1,3811.51,3032.19,4044.89218,3698.19,1465.0774,4766.713,5020.8156,664.2822,4174.1685,5015.118,2331.3943,1750.9587,1497.85368,1854.9974,2044.5256,1145.3557,1466.4724,1536.6025,1990.7259084,6223.1366274
643,Russian Federation,545496.3,500542.3,317813.92,459352.09,724759.02434,1026526.85,1661744.48414,2472982.269,1961807.32966,2257156.52901,4154837.2757,4405554.0037,5144758.97355,3442699.8802,2545791.58356,1821065.1811,1794904.7888,2019162.4248,2117289.8145,2531870.46603,1485755.0899578,2088237.3485801
646,Rwanda,3.2,NA,NA,NA,NA,0.3,NA,NA,0.1,0.05,10.2604,0.3199,0.2589,NA,0.0766,0.0161,0.3799,NA,0.0695,0.02703,NA,NA
652,Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,Saint Helena,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3304,0.0811,NA,NA,NA,NA,0.143,NA,10.4611,NA,0.015174
659,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.513,0.362,0.044,0.037
660,Anguilla,NA,NA,7.45,0.23,46.04671,NA,354.9,0.7,0.66,8.111,26.6055,20.9207,109.4595,298.904,36.9086,9.5665,18.6646,9.26,0.99,NA,0.0125,NA
662,Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02463,NA,NA
663,Saint Martin (French Part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,Saint Vincent and the Grenadines,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061,51.4,46.2,48.67,57,73.3,70.6,140.42566
674,San Marino,0.4,NA,NA,15.6,15.9,41.8,NA,0.84,NA,62.68,1,0.054,6.4264,NA,0.21,0.12,0.773,0.4993,0.2715,41.1602,NA,3.14
678,Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,Saudi Arabia,3592.2,2236.4,2451.2,2495.44,157.7,183.49,160.982,262.856,414.50417,478.3104,3006.336,1019.6519,586.8203,1143.06736,617.35468,5509.48857,596.7643,1436.4095,2160.3179,2246.07803,1647.5800981,4908.4706545499
686,Senegal,NA,NA,NA,NA,0,0.2,NA,NA,0.4,0.0021,0.0142,0.599,NA,NA,1.4,0.665,0.74,9.98,0.1503,2.95704,NA,15.54336
688,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6240.3305,3953.4329,373.4144,175.148,288.0811,189.7292,256.4988,341.3334,291.675,600.99554,995.256543265,625.485001716
690,Seychelles,2982.6,30.4,413.1,40.9,599.50387,7771.3,22690.98,2483.15,4745.81,3185.38,2993.114,10017.062,18.55,17026.533,29.083,239.836,13.873,104.26,28.5055,17.08535,759.21175,3.876
694,Sierra Leone,NA,NA,NA,NA,0.6,NA,0.4,NA,1.21,0.6,NA,0.8456,0.01,NA,NA,NA,NA,NA,NA,NA,NA,6.795e-4
702,Singapore,21815.7,17510.9,11318.94,21030.76,20161.62163,71243.74,105257.92,147163.961,165499.1239,67503.0703,171242.721,69951.3041,86842.2011,28334.6177,61336.66287,86836.47873,70321.9945,67815.3512,71554.87958,34219.22609,57963.9724983,103953.86628
703,Slovakia,1008.5,611.9,2466.67,4893.68,365.17545,194.72,2185.96708,4785.114,7975.5631,74.79501,345.7725,82.0181,91.6224,114.382,384.5053,2217.8571,2504.3087,537.7903,292.861,2190.71604,443.2783483,190.6360842
704,Viet Nam,15990,10490.8,5696,1085,4785.32751,3166.09,4523.209,4964.13,2233.73,4799.5554,4042.5628,6339.183,5552.2019,7164.117,9856.05536,5874.3016,5931.7187,21657.412,28921.1337,15175.0296,12953.8830555,20952.4891195
705,Slovenia,51,91.7,256.4,75.06,51.4,72.5,1460.377,190.49,352.6994,350.9196,415.7366,734.6771,588.3368,705.5509,741.6745,622.5423,599.8785,1227.9072,686.3468,709.99506,545.6088001,1089.7236786
706,Somalia,57.4,NA,NA,NA,NA,NA,0,NA,1.3,0.4,NA,0.319,0.9219,0.024,NA,1.522,NA,NA,1.09,NA,0.2372,NA
710,South Africa,29.9,7.8,2,5.95,1217.2618,1694.2,1543.26,15.436,47.4117,171.19248,970.4889,884.9599,1226.7893,1019.5062,1479.7936,490.0271,1795.0113,661.3821,57.0842,411.13504,157.5326931,3258.2505059
716,Zimbabwe,0.1,2.9,2.9,0.1,0.3,NA,0.2,0.1,0,0.024,2.3125,1.12,0.009,0.024,0.33,NA,1.2042,1.153,1.5218,1.12444,0.067240765,0.4256701
724,Spain,20163.8,8573.7,4703.18,7474.78,8192.42276,3599.267,3884.4047,6321.542,3189.3818,3282.97219,5120.4821,7666.7341,5285.7349,5708.8591,16795.4603,6923.8833,5603.5564,4285.122,5588.3833,4684.01961,1887.7914375,4410.044267786
729,Sudan,0.3,13.8,0,0,0.1,1.5,1.91435,0.4,4.22382,5.35,8.7382,1.8003,2.1662,3.926,0.368,6.841,1.833,8.52,4.2305,3.92064,0.6045939,1170.2591208
732,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,Suriname,NA,0.5,NA,0.7,NA,NA,NA,NA,NA,NA,NA,0.1016,0.33,NA,0.082,NA,0.61,0.7,NA,0.00175,NA,180.022
744,Svalbard and Jan Mayen Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0919,0.0208,NA,NA,NA,NA,NA,NA,0.034,NA,NA,NA
748,Eswatini,NA,NA,NA,1.4,0.1,NA,NA,4.5,15.7,4.2,NA,NA,21.884,NA,NA,NA,1.25,0.106,0.2399,1.35523,NA,0.05
752,Sweden,69.9,102.2,153.05,142.61,174.58321,374.2634,307.33665,426.921,616.0596,1013.1317,529.4416,331.0407,418.3219,511.4876,1281.8331,1240.5858,2938.6557,4930.6028,354.1735,795.79181,565.7093526,365.45295014508
756,Switzerland,272337.4,176484.8,188621.84,199815.26,151173.85029,140976.86,31359.49113,380756.489,1032850.8277,1586126.83157,45828.2238,16187.5919,18165.9791,28920.2673,16783.4662,16137.4545,19600.4498,10729.7772,15574.2672,34933.05639,18752.203127717,49564.740711313
760,Syrian Arab Republic,451.7,1336.1,1117.33,858.88,840.6,1869.5,4183.841,9885.252,6553.6324,5958.87177,5650.3295,2867.5859,3115.837,2449.92142,10260.19818,2216.15101,77.1702,658.1578,391.9733,2727.91133,1074.069387299,5.6534359
762,Tajikistan,100889,85747,101112.27,121511.86,147158.04206,136721.4268,169921.98331,191787.495,147351.4243,143537.72826,120696.627,118976.5259,164276.8869,145212.0778,153372.543,160327.03388,164846.6086,186065.2036,237491.8469,327557.28444,405124.05995476,501902.41096639
764,Thailand,1429.3,2330.2,2106.4,1815.4,2111.14928,2711.34,2880.29,2606.997,2659.857,1460.32481,2658.1498,1955.2204,1809.3908,1454.9733,1401.0522,1209.7354,13643.6051,1546.5911,3134.9529000000002,2760.08205,526.8546089,6959.4886504
768,Togo,NA,130.5,NA,NA,NA,NA,NA,NA,0.5,0.0047,0.05,0.048,0.0096,NA,NA,NA,3.363,0.1785,NA,0.11881,NA,0.018
772,Tokelau,NA,NA,NA,NA,102.5,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,1.03,NA,NA,0.02,NA
776,Tonga,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,3.49,NA,1.146,NA,0.582,NA,NA,NA,NA,0.00166,NA,0.7042664
780,Trinidad and Tobago,NA,NA,NA,NA,NA,NA,5.1,4.2,1.3,0.6,1.8626,NA,0,NA,NA,0.7494,NA,NA,0.3358,0.0147,0.0042,1.599e-4
784,United Arab Emirates,15667.6,24827.9,25026.69,26289.62,27692.20075,37530.61,74377.364,70801.744,65723.242800000007,107675.4272,129617.7823,125832.1343,165892.3705,97942.87573,74557.30688,43965.16468,60016.7803,45995.963,67500.1253,152578.2202,102696.04242196,55884.6767243
788,Tunisia,0.1,0.1,95.997,0.48,72.94162,67.76,82.17,111.8,12.93,4.6502,19.4843,6.362,97.0222,360.744,648.6826,357.8512,595.1302,2189.9989,1357.311,762.10056,135.34802,796.3002605
792,Turkey,99373.3,81377.5,102749.17,128986.07,215971.24277,346344.298,576878.55568,590526.658,534253.57816,406854.19882,722499.9405,910180.7923,854610.6944,896838.00738,966255.11077,790093.23685,686213.2228,877812.3169,944755.1646,1217633.18828,1018992.8405012,1692380.2445834
795,Turkmenistan,175414.9,138354.9,64537.96,75576.61,143792.98832,38011.84,33683.22445,77128.599,121642.0303,125036.4522,120736.1479,168620.8673,173284.36184,170258.46935,230077.82008,105970.03067,79501.0869,69902.2734,59537.8405,144331.60258,126068.57097352,191886.19589545
796,Turks and Caicos Islands,3.1,43.2,NA,NA,NA,NA,NA,NA,NA,NA,0.0347,NA,NA,NA,NA,NA,NA,NA,0.32,0.02929,NA,NA
798,Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294,NA,NA,0.01,NA,3,NA,0.9312,NA,NA,NA,NA,1.8714
800,Uganda,0.4,NA,0.1,0.2,NA,NA,0.3,NA,NA,0.1,NA,NA,0.075,NA,1.359,206.01,0.583,0.786,0.082,0.1396,0.9723054,0.395662
804,Ukraine,153485.4,149162,160386.47,143649.27,109348.86886,83962.47,361213.56433,629941.893,970775.85301,691087.0601,184546.5851,180038.93788,410371.26254,525421.66696,193640.68101,65749.71084,51188.945,106046.3011,100123.8949,119428.10491,123853.76934572,232545.3933879
807,North Macedonia,33.9,450,380,23.9,4.3,0.6,0.51,1.96,0.7075,1.6833,11.9353,5.0867000000000004,37.1842,81.369,248.461,209.1103,148.4767,123.815,103.7838,30.00122,408.5475646,1457.6344847
818,Egypt,51.9,572.9,83.92,86.8,115,4591.68,1086.37,832.257,21140.0979,13877.78417,23493.5199,1444.7942,3006.1846,2921.2901,982.8239,970.9727,566.5883,1449.6954,3779.7415,13875.76529,19234.3097072,34597.243272523
826,United Kingdom of Great Britain and Northern Ireland,236076.1,200318.3,228979.97,279032.97,383383.92614,335656.7,184442.66624,103335.963,153803.12676,110777.80801,131541.5999,97054.1376,110222.2638,39616.7076,31813.19405,47502.49004,49059.5821,56143.52375,174457.3905,105714.98899,34229.434370853,79598.324085918
,Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,0.12,NA,0.0116,11.75,NA,0.448,0.018,NA,NA,NA,NA
831,Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,NA,0.0018,0.17057,NA,4e-4
832,Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3815,3.0587,3.4683736,4.0502988
833,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,0.03,NA,0.0058,NA,1.2005,2.8618,0.0099929,NA
834,United Republic of Tanzania,NA,NA,0.3,0,NA,0.5,0.1,NA,0.1,0.1033,0.0106,0.2029,0.099,0.638,13.575,NA,NA,1.169,12.133,0.05406,NA,0.1239638
840,United States of America,51239.6,82914,76747.48,106747.13,149490.38868,110093.83,119124.15803,85568.177,211078.00412,146638.50728,51341.5399,72247.9343,49612.6973,56091.48892,42395.87577,30407.67806,53522.6878,32097.9759,36761.0478,36648.81685,28496.296585102,60794.374236409
850,United States Virgin Islands,NA,NA,194.8,297.24,17.62235,33.32,21.78,NA,3232.52,NA,NA,NA,NA,NA,198.933,231.655,NA,NA,NA,0.023,NA,10.457847
854,Burkina Faso,NA,NA,NA,NA,NA,NA,NA,81.12,NA,NA,51.03,0.0345,NA,0.06,0.155,NA,1.418,1.506,NA,0.01312,0.0132003,0.0334969
858,Uruguay,0.1,1,0.3,NA,NA,0.3,77.9,118.03,205,0.15,1.4538,10.547,1.092,15.982,0.3064,6.858,1.0135,25.1448,0.7939,1.72457,2.3395196,0.8149168
862,Venezuela (Bolivarian Republic of),1,1.6,NA,0.1,1.8,90.4,241.3,145.35,2.205,2.7804,1003.183,117.9806,1443.592,474.121,116.252,8.934,4.363,175.7215,4567.4423,1911.11631,7.175968289,680.0721113
,Wake Island (USA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
876,Wallis and Futuna Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,0.07019,0.09858947,2.80717
887,Yemen,0.2,0.1,0.9,0.2,1.1,3.1,77.91,99.59,30.74,16.8096,32.0521,24.5543,22.6534,22.6307,13.2336,206.5694,18.4731,2.0539,372.3698,237.24369,68.5292576,105.336196
,Yugoslavia (Serbia and Montenegro),1.8,210.1,1502.61,4694.24,8241.17859,77.5,152.02,14.685,967.8948,708.05374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,Zambia,0.1,NA,NA,NA,NA,NA,0.7,NA,0.74,NA,2.431,1.5415,14.4808,1.825,0.705,0.879,0.249,19.275,0.8571,63.4127,NA,0.0041007
х,Other countries,646264.2,788854.3,708411.7,957281.1,1070037.9,1172380.45,819975.77,1136910.18,2911847.2,2897683.48,2927108.442,3549137.5667,1206238.708,2765571.91,2243666.8824,3067714.6537,4077992.9831,3954545.3903,3939828.3275,6246359.8634,6153151.3832179,4874921.42602
